size,Triton ReLU,Torch ReLU
4096.000000,5.333333,6.400000
8192.000000,10.666666,12.800000
16384.000000,21.333333,25.600001
32768.000000,42.666665,42.666665
65536.000000,73.142856,85.333330
131072.000000,128.000000,146.285712
262144.000000,227.555548,227.555548
524288.000000,341.333321,341.333321
1048576.000000,431.157914,409.600010
2097152.000000,481.882344,468.114273
4194304.000000,520.126988,520.126988
8388608.000000,537.180338,541.619847
16777216.000000,546.133347,555.389814
33554432.000000,553.046413,561.336182
67108864.000000,555.978779,565.574964
134217728.000000,557.308528,567.411260
